Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066037,1972,03,201.7,Y
IDCJAC0001,066037,1972,04,96.1,Y
IDCJAC0001,066037,1972,05,75.5,Y
IDCJAC0001,066037,1972,06,86.2,Y
IDCJAC0001,066037,1972,07,3.6,Y
IDCJAC0001,066037,1972,08,42.0,Y
IDCJAC0001,066037,1972,09,10.8,Y
IDCJAC0001,066037,1972,10,205.4,Y
IDCJAC0001,066037,1972,11,66.3,Y
IDCJAC0001,066037,1972,12,32.7,Y
IDCJAC0001,066037,1973,01,278.1,Y
IDCJAC0001,066037,1973,02,267.3,Y
IDCJAC0001,066037,1973,03,58.2,Y
IDCJAC0001,066037,1973,04,111.4,Y
IDCJAC0001,066037,1973,05,22.5,Y
IDCJAC0001,066037,1973,06,94.1,Y
IDCJAC0001,066037,1973,07,100.6,Y
IDCJAC0001,066037,1973,08,68.9,Y
IDCJAC0001,066037,1973,09,64.4,Y
IDCJAC0001,066037,1973,10,186.8,Y
IDCJAC0001,066037,1973,11,108.2,Y
IDCJAC0001,066037,1973,12,28.9,Y
IDCJAC0001,066037,1974,01,150.8,Y
IDCJAC0001,066037,1974,02,107.4,Y
IDCJAC0001,066037,1974,03,299.0,Y
IDCJAC0001,066037,1974,04,133.1,Y
IDCJAC0001,066037,1974,05,186.3,Y
IDCJAC0001,066037,1974,06,202.4,Y
IDCJAC0001,066037,1974,07,12.1,Y
IDCJAC0001,066037,1974,08,176.4,Y
IDCJAC0001,066037,1974,09,37.0,Y
IDCJAC0001,066037,1974,10,59.8,Y
IDCJAC0001,066037,1974,11,67.4,Y
IDCJAC0001,066037,1974,12,22.0,Y
IDCJAC0001,066037,1975,01,30.2,Y
IDCJAC0001,066037,1975,02,136.4,Y
IDCJAC0001,066037,1975,03,393.0,Y
IDCJAC0001,066037,1975,04,68.2,Y
IDCJAC0001,066037,1975,05,20.0,Y
IDCJAC0001,066037,1975,06,359.6,Y
IDCJAC0001,066037,1975,07,63.0,Y
IDCJAC0001,066037,1975,08,26.0,Y
IDCJAC0001,066037,1975,09,46.4,Y
IDCJAC0001,066037,1975,10,83.4,Y
IDCJAC0001,066037,1975,11,42.8,Y
IDCJAC0001,066037,1975,12,25.8,Y
IDCJAC0001,066037,1976,01,306.0,Y
IDCJAC0001,066037,1976,02,239.8,Y
IDCJAC0001,066037,1976,03,260.0,Y
IDCJAC0001,066037,1976,04,38.0,Y
IDCJAC0001,066037,1976,05,33.4,Y
IDCJAC0001,066037,1976,06,165.2,Y
IDCJAC0001,066037,1976,07,161.4,Y
IDCJAC0001,066037,1976,08,32.0,Y
IDCJAC0001,066037,1976,09,119.6,Y
IDCJAC0001,066037,1976,10,268.3,Y
IDCJAC0001,066037,1976,11,122.4,Y
IDCJAC0001,066037,1976,12,21.8,Y
IDCJAC0001,066037,1977,01,121.2,Y
IDCJAC0001,066037,1977,02,160.8,Y
IDCJAC0001,066037,1977,03,225.4,Y
IDCJAC0001,066037,1977,04,19.8,Y
IDCJAC0001,066037,1977,05,101.2,Y
IDCJAC0001,066037,1977,06,100.6,Y
IDCJAC0001,066037,1977,07,17.8,Y
IDCJAC0001,066037,1977,08,18.4,Y
